epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9971750974655151,0.0010000000474974513,0.009639902971684933,1.0,2.772393656869099e-07
1,0.9996147751808167,0.0010000000474974513,0.0012156990123912692,1.0,8.939820439479718e-09
2,1.0,0.0010000000474974513,2.9907005227869377e-05,1.0,1.399580451533211e-10
3,0.9986975789070129,0.0010000000474974513,0.005734478589147329,1.0,1.8421962622028332e-08
4,0.9998899102210999,0.0010000000474974513,0.000440276664448902,1.0,4.111267326578627e-09
5,0.9995414018630981,0.0010000000474974513,0.002069748705253005,1.0,1.78357112190497e-07
6,0.9995230436325073,0.0010000000474974513,0.0016710491618141532,1.0,1.2946117511347666e-09
7,0.999853253364563,0.0010000000474974513,0.0005476832739077508,1.0,5.248425027915005e-10
8,0.9999816417694092,0.0005000000237487257,6.304866838036105e-05,1.0,6.997902951555446e-11
9,1.0,0.0005000000237487257,1.2174692528788e-05,1.0,0.0
10,1.0,0.0005000000237487257,6.1331174947554246e-06,1.0,0.0
11,0.9998716115951538,0.0005000000237487257,0.0003838762058876455,1.0,8.414926533362177e-09
12,0.9999266266822815,0.0005000000237487257,0.00037702248664572835,1.0,0.0
13,0.9999632835388184,0.0005000000237487257,5.856755160493776e-05,1.0,0.0
14,0.9999816417694092,0.0005000000237487257,1.5542296750936657e-05,1.0,0.0
15,1.0,0.0002500000118743628,2.5279284727730555e-06,1.0,0.0
